DistrictName,SchoolName,Category,Subcategory,Count,Percent,TotalCount
Arlington School District,Arlington High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,50.0%,2
Arlington School District,Arlington High School,Degree,Master's Degree,2,100.0%,2
Arlington School District,Arlington High School,Gender,Female,1,50.0%,2
Arlington School District,Arlington High School,Gender,Male,1,50.0%,2
Arlington School District,Arlington High School,RaceEthnicity,White,2,100.0%,2
Auburn School District,Auburn Mountainview High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,50.0%,2
Auburn School District,Auburn Mountainview High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,50.0%,2
Auburn School District,Auburn Mountainview High School,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,50.0%,2
Auburn School District,Auburn Mountainview High School,Degree,Master's Degree,2,100.0%,2
Auburn School District,Auburn Mountainview High School,Gender,Female,1,50.0%,2
Auburn School District,Auburn Mountainview High School,Gender,Male,1,50.0%,2
Auburn School District,Auburn Mountainview High School,RaceEthnicity,White,2,100.0%,2
Auburn School District,Auburn Riverside High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Auburn School District,Auburn Riverside High School,Degree,Master's Degree,1,100.0%,1
Auburn School District,Auburn Riverside High School,Gender,Female,1,100.0%,1
Auburn School District,Auburn Riverside High School,RaceEthnicity,White,1,100.0%,1
Auburn School District,Auburn Senior High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,100.0%,1
Auburn School District,Auburn Senior High School,Degree,Master's Degree,1,100.0%,1
Auburn School District,Auburn Senior High School,Gender,Male,1,100.0%,1
Auburn School District,Auburn Senior High School,RaceEthnicity,White,1,100.0%,1
Auburn School District,West Auburn Senior High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,33.3%,3
Auburn School District,West Auburn Senior High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,33.3%,3
Auburn School District,West Auburn Senior High School,Certificate,T320900 - RESIDENCY TEACHER (RENEWAL)                                 ,1,33.3%,3
Auburn School District,West Auburn Senior High School,Certificate,T330600 - PROFESSIONAL TEACHER,1,33.3%,3
Auburn School District,West Auburn Senior High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,33.3%,3
Auburn School District,West Auburn Senior High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,33.3%,3
Auburn School District,West Auburn Senior High School,Degree,Bachelor's Degree,1,33.3%,3
Auburn School District,West Auburn Senior High School,Degree,Master's Degree,2,66.7%,3
Auburn School District,West Auburn Senior High School,Gender,Female,1,33.3%,3
Auburn School District,West Auburn Senior High School,Gender,Male,2,66.7%,3
Auburn School District,West Auburn Senior High School,RaceEthnicity,White,3,100.0%,3
Bainbridge Island School District,Bainbridge High School,Certificate,A310515 - RESIDENCY ADMINISTRATOR (FIRST ISSUE)                       ,1,33.3%,3
Bainbridge Island School District,Bainbridge High School,Certificate,C280700 - CONDITIONAL CERTIFICATE                                     ,1,33.3%,3
Bainbridge Island School District,Bainbridge High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,33.3%,3
Bainbridge Island School District,Bainbridge High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,33.3%,3
Bainbridge Island School District,Bainbridge High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,33.3%,3
Bainbridge Island School District,Bainbridge High School,Certificate,T310600 - RESIDENCY TEACHER (FIRST ISSUE)                             ,1,33.3%,3
Bainbridge Island School District,Bainbridge High School,Certificate,T330600 - PROFESSIONAL TEACHER,1,33.3%,3
Bainbridge Island School District,Bainbridge High School,Certificate,T330900 - PROFESSIONAL TEACHER (RENEWAL),1,33.3%,3
Bainbridge Island School District,Bainbridge High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,33.3%,3
Bainbridge Island School District,Bainbridge High School,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,33.3%,3
Bainbridge Island School District,Bainbridge High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,33.3%,3
Bainbridge Island School District,Bainbridge High School,Degree,Doctoral Degree,1,33.3%,3
Bainbridge Island School District,Bainbridge High School,Degree,Master's Degree,2,66.7%,3
Bainbridge Island School District,Bainbridge High School,Gender,Female,1,33.3%,3
Bainbridge Island School District,Bainbridge High School,Gender,Male,2,66.7%,3
Bainbridge Island School District,Bainbridge High School,RaceEthnicity,White,3,100.0%,3
Bainbridge Island School District,Eagle Harbor High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,100.0%,1
Bainbridge Island School District,Eagle Harbor High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,100.0%,1
Bainbridge Island School District,Eagle Harbor High School,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,100.0%,1
Bainbridge Island School District,Eagle Harbor High School,Certificate,T320900 - RESIDENCY TEACHER (RENEWAL)                                 ,1,100.0%,1
Bainbridge Island School District,Eagle Harbor High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,100.0%,1
Bainbridge Island School District,Eagle Harbor High School,Degree,Master's Degree,1,100.0%,1
Bainbridge Island School District,Eagle Harbor High School,Gender,Female,1,100.0%,1
Bainbridge Island School District,Eagle Harbor High School,RaceEthnicity,White,1,100.0%,1
Bainbridge Island School District,Woodward Middle School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,100.0%,1
Bainbridge Island School District,Woodward Middle School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,100.0%,1
Bainbridge Island School District,Woodward Middle School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Bainbridge Island School District,Woodward Middle School,Degree,Bachelor's Degree,1,100.0%,1
Bainbridge Island School District,Woodward Middle School,Gender,Male,1,100.0%,1
Bainbridge Island School District,Woodward Middle School,RaceEthnicity,White,1,100.0%,1
Battle Ground School District,Battle Ground High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,50.0%,2
Battle Ground School District,Battle Ground High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,50.0%,2
Battle Ground School District,Battle Ground High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,50.0%,2
Battle Ground School District,Battle Ground High School,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,50.0%,2
Battle Ground School District,Battle Ground High School,Degree,Bachelor's Degree,2,100.0%,2
Battle Ground School District,Battle Ground High School,Gender,Male,2,100.0%,2
Battle Ground School District,Battle Ground High School,RaceEthnicity,White,2,100.0%,2
Battle Ground School District,CAM Academy,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Battle Ground School District,CAM Academy,Degree,Master's Degree,1,100.0%,1
Battle Ground School District,CAM Academy,Gender,Male,1,100.0%,1
Battle Ground School District,CAM Academy,RaceEthnicity,White,1,100.0%,1
Battle Ground School District,Homelink River,Certificate,ACTE500 - CONTINUING CAREER AND TECHNICAL EDUCATION DIRECTOR,1,20.0%,5
Battle Ground School District,Homelink River,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,2,40.0%,5
Battle Ground School District,Homelink River,Certificate,T310600 - RESIDENCY TEACHER (FIRST ISSUE)                             ,2,40.0%,5
Battle Ground School District,Homelink River,Certificate,T320500 - RESIDENCY TEACHER                                           ,3,60.0%,5
Battle Ground School District,Homelink River,Certificate,T330500 - PROFESSIONAL TEACHER                                        ,1,20.0%,5
Battle Ground School District,Homelink River,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),2,40.0%,5
Battle Ground School District,Homelink River,Degree,Bachelor's Degree,1,20.0%,5
Battle Ground School District,Homelink River,Degree,Master's Degree,2,40.0%,5
Battle Ground School District,Homelink River,Degree,Other/Non Degreed,2,40.0%,5
Battle Ground School District,Homelink River,Gender,Female,3,60.0%,5
Battle Ground School District,Homelink River,Gender,Male,2,40.0%,5
Battle Ground School District,Homelink River,RaceEthnicity,White,5,100.0%,5
Battle Ground School District,Prairie High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,100.0%,1
Battle Ground School District,Prairie High School,Degree,Master's Degree,1,100.0%,1
Battle Ground School District,Prairie High School,Gender,Male,1,100.0%,1
Battle Ground School District,Prairie High School,RaceEthnicity,White,1,100.0%,1
Bellevue School District,Bellevue Big Picture School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,33.3%,3
Bellevue School District,Bellevue Big Picture School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,33.3%,3
Bellevue School District,Bellevue Big Picture School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,33.3%,3
Bellevue School District,Bellevue Big Picture School,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,33.3%,3
Bellevue School District,Bellevue Big Picture School,Certificate,T320900 - RESIDENCY TEACHER (RENEWAL)                                 ,1,33.3%,3
Bellevue School District,Bellevue Big Picture School,Certificate,T330800 - PROFESSIONAL TEACHER (RENEWAL)                              ,2,66.7%,3
Bellevue School District,Bellevue Big Picture School,Degree,Bachelor's Degree,1,33.3%,3
Bellevue School District,Bellevue Big Picture School,Degree,Master's Degree,1,33.3%,3
Bellevue School District,Bellevue Big Picture School,Degree,Other/Non Degreed,1,33.3%,3
Bellevue School District,Bellevue Big Picture School,Gender,Female,3,100.0%,3
Bellevue School District,Bellevue Big Picture School,RaceEthnicity,White,3,100.0%,3
Bellevue School District,Bellevue High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,33.3%,3
Bellevue School District,Bellevue High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,33.3%,3
Bellevue School District,Bellevue High School,Certificate,T320900 - RESIDENCY TEACHER (RENEWAL)                                 ,1,33.3%,3
Bellevue School District,Bellevue High School,Certificate,TCTE300 - CAREER AND TECHNICAL ED INITIAL TEACHER (RENEWAL),1,33.3%,3
Bellevue School District,Bellevue High School,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,33.3%,3
Bellevue School District,Bellevue High School,Degree,Master's Degree,2,66.7%,3
Bellevue School District,Bellevue High School,Degree,Other/Non Degreed,1,33.3%,3
Bellevue School District,Bellevue High School,Gender,Male,3,100.0%,3
Bellevue School District,Bellevue High School,RaceEthnicity,White,3,100.0%,3
Bellevue School District,Chinook Middle School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,100.0%,1
Bellevue School District,Chinook Middle School,Degree,Master's Degree,1,100.0%,1
Bellevue School District,Chinook Middle School,Gender,Female,1,100.0%,1
Bellevue School District,Chinook Middle School,RaceEthnicity,White,1,100.0%,1
Bellevue School District,Highland Middle School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,100.0%,1
Bellevue School District,Highland Middle School,Degree,Bachelor's Degree,1,100.0%,1
Bellevue School District,Highland Middle School,Gender,Male,1,100.0%,1
Bellevue School District,Highland Middle School,RaceEthnicity,White,1,100.0%,1
Bellevue School District,Interlake Senior High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,100.0%,1
Bellevue School District,Interlake Senior High School,Degree,Master's Degree,1,100.0%,1
Bellevue School District,Interlake Senior High School,Gender,Male,1,100.0%,1
Bellevue School District,Interlake Senior High School,RaceEthnicity,White,1,100.0%,1
Bellevue School District,International School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,3,100.0%,3
Bellevue School District,International School,Degree,Master's Degree,1,33.3%,3
Bellevue School District,International School,Degree,Other/Non Degreed,2,66.7%,3
Bellevue School District,International School,Gender,Female,2,66.7%,3
Bellevue School District,International School,Gender,Male,1,33.3%,3
Bellevue School District,International School,RaceEthnicity,Asian,1,33.3%,3
Bellevue School District,International School,RaceEthnicity,Hispanic/ Latino of any race(s),1,33.3%,3
Bellevue School District,International School,RaceEthnicity,White,1,33.3%,3
Bellevue School District,Newport Senior High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,3,100.0%,3
Bellevue School District,Newport Senior High School,Degree,Master's Degree,2,66.7%,3
Bellevue School District,Newport Senior High School,Degree,Other/Non Degreed,1,33.3%,3
Bellevue School District,Newport Senior High School,Gender,Female,2,66.7%,3
Bellevue School District,Newport Senior High School,Gender,Male,1,33.3%,3
Bellevue School District,Newport Senior High School,RaceEthnicity,Asian,1,33.3%,3
Bellevue School District,Newport Senior High School,RaceEthnicity,White,2,66.7%,3
Bellevue School District,Odle Middle School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,25.0%,4
Bellevue School District,Odle Middle School,Certificate,T230700 - CONTINUING TEACHER                                          ,2,50.0%,4
Bellevue School District,Odle Middle School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,2,50.0%,4
Bellevue School District,Odle Middle School,Certificate,TCTE300 - CAREER AND TECHNICAL ED INITIAL TEACHER (RENEWAL),2,50.0%,4
Bellevue School District,Odle Middle School,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,25.0%,4
Bellevue School District,Odle Middle School,Degree,Bachelor's Degree,1,25.0%,4
Bellevue School District,Odle Middle School,Degree,Master's Degree,3,75.0%,4
Bellevue School District,Odle Middle School,Gender,Female,3,75.0%,4
Bellevue School District,Odle Middle School,Gender,Male,1,25.0%,4
Bellevue School District,Odle Middle School,RaceEthnicity,White,4,100.0%,4
Bellevue School District,Sammamish Senior High,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,2,100.0%,2
Bellevue School District,Sammamish Senior High,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,50.0%,2
Bellevue School District,Sammamish Senior High,Certificate,T310600 - RESIDENCY TEACHER (FIRST ISSUE)                             ,1,50.0%,2
Bellevue School District,Sammamish Senior High,Degree,Bachelor's Degree,1,50.0%,2
Bellevue School District,Sammamish Senior High,Degree,Other/Non Degreed,1,50.0%,2
Bellevue School District,Sammamish Senior High,Gender,Female,1,50.0%,2
Bellevue School District,Sammamish Senior High,Gender,Male,1,50.0%,2
Bellevue School District,Sammamish Senior High,RaceEthnicity,White,2,100.0%,2
Bellevue School District,Tillicum Middle School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,100.0%,1
Bellevue School District,Tillicum Middle School,Degree,Bachelor's Degree,1,100.0%,1
Bellevue School District,Tillicum Middle School,Gender,Male,1,100.0%,1
Bellevue School District,Tillicum Middle School,RaceEthnicity,Black/ African American,1,100.0%,1
Bellevue School District,Tyee Middle School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,33.3%,3
Bellevue School District,Tyee Middle School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,33.3%,3
Bellevue School District,Tyee Middle School,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,33.3%,3
Bellevue School District,Tyee Middle School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,2,66.7%,3
Bellevue School District,Tyee Middle School,Certificate,TCTE300 - CAREER AND TECHNICAL ED INITIAL TEACHER (RENEWAL),1,33.3%,3
Bellevue School District,Tyee Middle School,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,33.3%,3
Bellevue School District,Tyee Middle School,Degree,Bachelor's Degree,1,33.3%,3
Bellevue School District,Tyee Middle School,Degree,Master's Degree,2,66.7%,3
Bellevue School District,Tyee Middle School,Gender,Female,1,33.3%,3
Bellevue School District,Tyee Middle School,Gender,Male,2,66.7%,3
Bellevue School District,Tyee Middle School,RaceEthnicity,White,3,100.0%,3
Bellingham School District,Bellingham High School,Certificate,A310515 - RESIDENCY ADMINISTRATOR (FIRST ISSUE)                       ,1,25.0%,4
Bellingham School District,Bellingham High School,Certificate,CCTE101 - CAREER AND TECHNICAL EDUCATION PROBATIONARY TEACHER         ,1,25.0%,4
Bellingham School District,Bellingham High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,25.0%,4
Bellingham School District,Bellingham High School,Certificate,T230700 - CONTINUING TEACHER                                          ,3,75.0%,4
Bellingham School District,Bellingham High School,Certificate,T330800 - PROFESSIONAL TEACHER (RENEWAL)                              ,1,25.0%,4
Bellingham School District,Bellingham High School,Certificate,TCTE300 - CAREER AND TECHNICAL ED INITIAL TEACHER (RENEWAL),1,25.0%,4
Bellingham School District,Bellingham High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,25.0%,4
Bellingham School District,Bellingham High School,Degree,Master's Degree,4,100.0%,4
Bellingham School District,Bellingham High School,Gender,Male,4,100.0%,4
Bellingham School District,Bellingham High School,RaceEthnicity,White,4,100.0%,4
Bellingham School District,Fairhaven Middle School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,100.0%,1
Bellingham School District,Fairhaven Middle School,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,100.0%,1
Bellingham School District,Fairhaven Middle School,Degree,Master's Degree,1,100.0%,1
Bellingham School District,Fairhaven Middle School,Gender,Female,1,100.0%,1
Bellingham School District,Fairhaven Middle School,RaceEthnicity,White,1,100.0%,1
Bellingham School District,Sehome High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,50.0%,2
Bellingham School District,Sehome High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,50.0%,2
Bellingham School District,Sehome High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,50.0%,2
Bellingham School District,Sehome High School,Certificate,T330500 - PROFESSIONAL TEACHER                                        ,1,50.0%,2
Bellingham School District,Sehome High School,Certificate,T330800 - PROFESSIONAL TEACHER (RENEWAL)                              ,1,50.0%,2
Bellingham School District,Sehome High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),2,100.0%,2
Bellingham School District,Sehome High School,Degree,Master's Degree,2,100.0%,2
Bellingham School District,Sehome High School,Gender,Female,1,50.0%,2
Bellingham School District,Sehome High School,Gender,Male,1,50.0%,2
Bellingham School District,Sehome High School,RaceEthnicity,White,2,100.0%,2
Bellingham School District,Shuksan Middle School,Certificate,T330800 - PROFESSIONAL TEACHER (RENEWAL)                              ,1,100.0%,1
Bellingham School District,Shuksan Middle School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,100.0%,1
Bellingham School District,Shuksan Middle School,Degree,Bachelor's Degree,1,100.0%,1
Bellingham School District,Shuksan Middle School,Gender,Female,1,100.0%,1
Bellingham School District,Shuksan Middle School,RaceEthnicity,White,1,100.0%,1
Bellingham School District,Squalicum High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,50.0%,2
Bellingham School District,Squalicum High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,50.0%,2
Bellingham School District,Squalicum High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,50.0%,2
Bellingham School District,Squalicum High School,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,50.0%,2
Bellingham School District,Squalicum High School,Degree,Master's Degree,2,100.0%,2
Bellingham School District,Squalicum High School,Gender,Male,2,100.0%,2
Bellingham School District,Squalicum High School,RaceEthnicity,White,2,100.0%,2
Bethel School District,Bethel High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,50.0%,2
Bethel School District,Bethel High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,50.0%,2
Bethel School District,Bethel High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,50.0%,2
Bethel School District,Bethel High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,50.0%,2
Bethel School District,Bethel High School,Degree,Master's Degree,1,50.0%,2
Bethel School District,Bethel High School,Degree,Other/Non Degreed,1,50.0%,2
Bethel School District,Bethel High School,Gender,Female,1,50.0%,2
Bethel School District,Bethel High School,Gender,Male,1,50.0%,2
Bethel School District,Bethel High School,RaceEthnicity,Two or more races,1,50.0%,2
Bethel School District,Bethel High School,RaceEthnicity,White,1,50.0%,2
Bethel School District,Challenger High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,100.0%,1
Bethel School District,Challenger High School,Degree,Other/Non Degreed,1,100.0%,1
Bethel School District,Challenger High School,Gender,Female,1,100.0%,1
Bethel School District,Challenger High School,RaceEthnicity,Hispanic/ Latino of any race(s),1,100.0%,1
Bethel School District,Graham Kapowsin High School,Certificate,ACTE200 - CAREER AND TECHNICAL EDUCATION DIRECTOR                     ,1,50.0%,2
Bethel School District,Graham Kapowsin High School,Certificate,ACTE500 - CONTINUING CAREER AND TECHNICAL EDUCATION DIRECTOR,1,50.0%,2
Bethel School District,Graham Kapowsin High School,Certificate,T330800 - PROFESSIONAL TEACHER (RENEWAL)                              ,1,50.0%,2
Bethel School District,Graham Kapowsin High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,50.0%,2
Bethel School District,Graham Kapowsin High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,50.0%,2
Bethel School District,Graham Kapowsin High School,Degree,Bachelor's Degree,1,50.0%,2
Bethel School District,Graham Kapowsin High School,Degree,Master's Degree,1,50.0%,2
Bethel School District,Graham Kapowsin High School,Gender,Female,1,50.0%,2
Bethel School District,Graham Kapowsin High School,Gender,Male,1,50.0%,2
Bethel School District,Graham Kapowsin High School,RaceEthnicity,White,2,100.0%,2
Bethel School District,Pierce County Skills Center,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,50.0%,2
Bethel School District,Pierce County Skills Center,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),2,100.0%,2
Bethel School District,Pierce County Skills Center,Degree,Bachelor's Degree,1,50.0%,2
Bethel School District,Pierce County Skills Center,Degree,Other/Non Degreed,1,50.0%,2
Bethel School District,Pierce County Skills Center,Gender,Male,2,100.0%,2
Bethel School District,Pierce County Skills Center,RaceEthnicity,White,2,100.0%,2
Bethel School District,Spanaway Lake High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,50.0%,2
Bethel School District,Spanaway Lake High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,2,100.0%,2
Bethel School District,Spanaway Lake High School,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,50.0%,2
Bethel School District,Spanaway Lake High School,Degree,Bachelor's Degree,1,50.0%,2
Bethel School District,Spanaway Lake High School,Degree,Other/Non Degreed,1,50.0%,2
Bethel School District,Spanaway Lake High School,Gender,Male,2,100.0%,2
Bethel School District,Spanaway Lake High School,RaceEthnicity,White,2,100.0%,2
Blaine School District,Blaine Home Connections,Certificate,CCTE101 - CAREER AND TECHNICAL EDUCATION PROBATIONARY TEACHER         ,1,100.0%,1
Blaine School District,Blaine Home Connections,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,100.0%,1
Blaine School District,Blaine Home Connections,Degree,Bachelor's Degree,1,100.0%,1
Blaine School District,Blaine Home Connections,Gender,Male,1,100.0%,1
Blaine School District,Blaine Home Connections,RaceEthnicity,White,1,100.0%,1
Bremerton School District,Bremerton High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,100.0%,1
Bremerton School District,Bremerton High School,Degree,Master's Degree,1,100.0%,1
Bremerton School District,Bremerton High School,Gender,Male,1,100.0%,1
Bremerton School District,Bremerton High School,RaceEthnicity,White,1,100.0%,1
Bremerton School District,West Sound Technical Skills Center,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,100.0%,1
Bremerton School District,West Sound Technical Skills Center,Degree,Other/Non Degreed,1,100.0%,1
Bremerton School District,West Sound Technical Skills Center,Gender,Male,1,100.0%,1
Bremerton School District,West Sound Technical Skills Center,RaceEthnicity,White,1,100.0%,1
Bridgeport School District,Bridgeport High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,100.0%,1
