ESDCode,ESDName,DistrictCode,DistrictName,AddressLine1,AddressLine2,City,State,Zipcode,AdministratorName,Phone,Email,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Congressional District",Congress,"State Legislative District House Name","State Legislative District House Number","State Legislative District House OCD id","State Legislative District House Proportion","State Legislative District Senate Name","State Legislative District Senate Number","State Legislative District Senate OCD id","State Legislative District Senate Proportion"
29801,"Northwest Educational Service District 189",37501,"Bellingham School District","1985 BARKLEY BLVD",,BELLINGHAM,Washington,98226-6605,"Greg  Baker","(360)676-6470 Ext.6501",greg.baker@bellinghamschools.org,48.771381,-122.448477,1,rooftop,1985,"Barkley Blvd",,,Bellingham,WA,"Whatcom County",98226,US,"City of Bellingham",WA2,118th,"Legislative District 42",42,ocd-division/country:us/state:wa/sldl:42,1,"Legislative District 42",42,ocd-division/country:us/state:wa/sldu:42,1
32801,"Educational Service District 101",01122,"Benge School District","2978 E BENGE WINONA RD",,BENGE,Washington,99105-9705,"Robert  Moore",(509)887-2370,bob.moore@benge.wednet.edu,46.910718,-118.099834,1,rooftop,2978,"E Benge-Winona Rd",,,Benge,WA,"Adams County",99105,US,"Statewide WA",WA5,118th,"Legislative District 9",9,ocd-division/country:us/state:wa/sldl:9,1,"Legislative District 9",9,ocd-division/country:us/state:wa/sldu:9,1
17801,"Puget Sound Educational Service District 121",27403,"Bethel School District","516 176th St E",,Spanaway,Washington,98387,"Tom  Seigel",(253)800-6010,tseigel@bethelsd.org,47.096788,-122.42547,1,rooftop,516,"176th St E",,,Spanaway,WA,"Pierce County",98387,US,Pierce,WA10,118th,"Legislative District 29",29,ocd-division/country:us/state:wa/sldl:29,1,"Legislative District 29",29,ocd-division/country:us/state:wa/sldu:29,1
39801,"Educational Service District 105",20203,"Bickleton School District","3626 Bickleton Highway",,Bickleton,Washington,99322,"Tom  Whitmore",(509)896-5473,twhitmore@bickletonschools.org,45.998406,-120.29275,1,rooftop,3626,"Bickleton Hwy",,,Bickleton,WA,"Klickitat County",99322,US,"Statewide WA",WA4,118th,"Legislative District 14",14,ocd-division/country:us/state:wa/sldl:14,1,"Legislative District 14",14,ocd-division/country:us/state:wa/sldu:14,1
29801,"Northwest Educational Service District 189",37503,"Blaine School District","765 H Street",,BLAINE,Washington,98230,"Christopher  Granger",(360)332-5881,cgranger@blainesd.org,48.993777,-122.742181,1,rooftop,765,"H St",,,Blaine,WA,"Whatcom County",98230,US,"City of Bellingham",WA2,118th,"Legislative District 42",42,ocd-division/country:us/state:wa/sldl:42,1,"Legislative District 42",42,ocd-division/country:us/state:wa/sldu:42,1
34801,"Capital Region ESD 113",21234,"Boistfort School District","983 BOISTFORT RD",,CURTIS,Washington,98538-9734,"Neil  Varble",(360)245-3343,nvarble@boistfort.k12.wa.us,46.550374,-123.13154,1,rooftop,983,"Boistfort Rd",,,Curtis,WA,"Lewis County",98538,US,Lewis,WA3,118th,"Legislative District 19",19,ocd-division/country:us/state:wa/sldl:19,1,"Legislative District 19",19,ocd-division/country:us/state:wa/sldu:19,1
18801,"Olympic Educational Service District 114",18100,"Bremerton School District","134 MARION AVE N",,BREMERTON,Washington,98312-3542,"James  Crawford",(360)473-1006,james.crawford@bremertonschools.org,47.564851,-122.661973,1,rooftop,134,"N Marion Ave",,,Bremerton,WA,"Kitsap County",98312,US,"Statewide WA",WA6,118th,"Legislative District 26",26,ocd-division/country:us/state:wa/sldl:26,1,"Legislative District 26",26,ocd-division/country:us/state:wa/sldu:26,1
04801,"North Central Educational Service District 171",24111,"Brewster School District","P.O. Box 97",,Brewster,Washington,98812,"Eric  Driessen",(509)689-3418,edriessen@brewsterbears.org,48.09598,-119.78062,0.5,place,97,"PO Box",,,Brewster,WA,"Okanogan County",98812,US,"TIGER/Line® dataset from the US Census Bureau",WA4,118th,"Legislative District 7",7,ocd-division/country:us/state:wa/sldl:7,1,"Legislative District 7",7,ocd-division/country:us/state:wa/sldu:7,1
04801,"North Central Educational Service District 171",09075,"Bridgeport School District","PO BOX 1060",,BRIDGEPORT,Washington,98813-1060,"Scott  Sattler",(509)686-5656,ssattler@bsd75.org,48.0082,-119.67116,0.5,place,1060,"PO Box",,,Bridgeport,WA,"Douglas County",98813,US,"TIGER/Line® dataset from the US Census Bureau",WA4,118th,"Legislative District 7",7,ocd-division/country:us/state:wa/sldl:7,1,"Legislative District 7",7,ocd-division/country:us/state:wa/sldu:7,1
18801,"Olympic Educational Service District 114",16046,"Brinnon School District","46 SCHOOLHOUSE RD",,BRINNON,Washington,98320-9651,"Patricia  Beathard",(360)796-4646,pbeathard@bsd46.org,47.697242,-122.903097,1,rooftop,46,"Schoolhouse Rd",,,Brinnon,WA,"Jefferson County",98320,US,"Jefferson (Jefferson County GIS CC BY 4.0)",WA6,118th,"Legislative District 24",24,ocd-division/country:us/state:wa/sldl:24,1,"Legislative District 24",24,ocd-division/country:us/state:wa/sldu:24,1
29801,"Northwest Educational Service District 189",29100,"Burlington-Edison School District","927 E FAIRHAVEN AVE",,BURLINGTON,Washington,98233-1900,"Chris  Pearson",(360)757-3311,cpearson@be.wednet.edu,48.475637,-122.322583,1,range_interpolation,927,"E Fairhaven Ave",,,Burlington,WA,"Skagit County",98233,US,"TIGER/Line® dataset from the US Census Bureau",WA2,118th,"Legislative District 40",40,ocd-division/country:us/state:wa/sldl:40,1,"Legislative District 40",40,ocd-division/country:us/state:wa/sldu:40,1
06801,"Educational Service District 112",06117,"Camas School District","841 NE 22nd AVE",,CAMAS,Washington,98607-1148,"John   Anzalone",(360)335-3000,john.anzalone@camas.wednet.edu,45.595586,-122.401903,1,rooftop,841,"NE 22nd Ave",,,Camas,WA,"Clark County",98607,US,Clark,WA3,118th,"Legislative District 17",17,ocd-division/country:us/state:wa/sldl:17,1,"Legislative District 17",17,ocd-division/country:us/state:wa/sldu:17,1
18801,"Olympic Educational Service District 114",05401,"Cape Flattery School District","PO BOX 109",,SEKIU,Washington,98381-9747,"Michelle  Parkin",(360)963-2075,mparkin@cfsd.wednet.edu,48.288633,-124.397803,0.5,place,109,"PO Box",,,Sekiu,WA,"Clallam County",98381,US,"TIGER/Line® dataset from the US Census Bureau",WA6,118th,"Legislative District 24",24,ocd-division/country:us/state:wa/sldl:24,1,"Legislative District 24",24,ocd-division/country:us/state:wa/sldu:24,1
17801,"Puget Sound Educational Service District 121",27019,"Carbonado School District","PO BOX 131",,CARBONADO,Washington,98323-0131,"Jessie  Sprouse",(360)829-0121,jsprouse@carbonado.k12.wa.us,47.05221,-122.025502,0.5,place,131,"PO Box",,,Carbonado,WA,"Pierce County",98323,US,"TIGER/Line® dataset from the US Census Bureau",WA8,118th,"Legislative District 2",2,ocd-division/country:us/state:wa/sldl:2,0.709,"Legislative District 2",2,ocd-division/country:us/state:wa/sldu:2,0.709
04801,"North Central Educational Service District 171",04228,"Cascade School District","330 EVANS ST",,LEAVENWORTH,Washington,98826-1244,"Tracey  Beckendorf-Edou",(509)548-5885,tbeckendorfedou@cascadesd.org,47.597761,-120.663778,1,rooftop,330,"Evans St",,,Leavenworth,WA,"Chelan County",98826,US,"Chelan (Public Domain)",WA8,118th,"Legislative District 12",12,ocd-division/country:us/state:wa/sldl:12,1,"Legislative District 12",12,ocd-division/country:us/state:wa/sldu:12,1
04801,"North Central Educational Service District 171",04222,"CASHMERE SCHOOL DISTRICT","210 S DIVISION ST",,CASHMERE,Washington,98815-1133,"GLENN ERICK JOHNSON",(509)782-3355,GJOHNSON@CASHMERE.WEDNET.EDU,47.519416,-120.470557,1,rooftop,210,"S Division St",,,Cashmere,WA,"Chelan County",98815,US,"Chelan (Public Domain)",WA8,118th,"Legislative District 12",12,ocd-division/country:us/state:wa/sldl:12,1,"Legislative District 12",12,ocd-division/country:us/state:wa/sldu:12,1
06801,"Educational Service District 112",08401,"Castle Rock School District","600 HUNTINGTON AVE S",,"CASTLE ROCK",Washington,98611-8901,"  ",,,46.271816,-122.905452,1,rooftop,600,"Huntington Ave S",,,"Castle Rock",WA,"Cowlitz County",98611,US,Cowlitz,WA3,118th,"Legislative District 19",19,ocd-division/country:us/state:wa/sldl:19,1,"Legislative District 19",19,ocd-division/country:us/state:wa/sldu:19,1
34950,"Washington State Charter School Commission",18901,"Catalyst Public Schools","1305 Ironsides Avenue",,Bremerton,Washington,98310,"AMANDA  GARDNER",(360)207-0229,AMANDA@CATALYSTPUBLICSCHOOLS.ORG,47.572309,-122.612137,1,rooftop,1305,"Ironsides Ave",,,Bremerton,WA,"Kitsap County",98310,US,Kitsap,WA6,118th,"Legislative District 23",23,ocd-division/country:us/state:wa/sldl:23,1,"Legislative District 23",23,ocd-division/country:us/state:wa/sldu:23,1
06801,"Educational Service District 112",20215,"Centerville School District","ATTN:Ann Varkados","2315 Centerville Hwy",CENTERVILLE,Washington,98613-3021,"Ann  Varkados",(509)773-4893,avarkados@centervilleschool.org,45.738205,-120.993902,1,place,,,,,Centerville,WA,"Klickitat County",98613,US,"TIGER/Line® dataset from the US Census Bureau",WA4,118th,"Legislative District 14",14,ocd-division/country:us/state:wa/sldl:14,1,"Legislative District 14",14,ocd-division/country:us/state:wa/sldu:14,1
18801,"Olympic Educational Service District 114",18401,"Central Kitsap School District","PO BOX 8",,SILVERDALE,Washington,98383-9197,"Erin  Prince",(360)662-1610,erinp@ckschools.org,47.690048,-122.712678,0.5,place,8,"PO Box",,,Silverdale,WA,"Kitsap County",98383,US,"TIGER/Line® dataset from the US Census Bureau",WA6,118th,"Legislative District 35",35,ocd-division/country:us/state:wa/sldl:35,0.457,"Legislative District 35",35,ocd-division/country:us/state:wa/sldu:35,0.457
32801,"Educational Service District 101",32356,"Central Valley School District","2218 N. Molter",,"Liberty Lake",Washington,99019,"John  Parker",(509)558-5404,jparker@cvsd.org,47.67788,-117.090457,1,rooftop,2218,"N Molter Rd",,,"Liberty Lake",WA,"Spokane County",99019,US,"Spokane (Spokane County CC BY-NC-SA 4.0)",WA5,118th,"Legislative District 4",4,ocd-division/country:us/state:wa/sldl:4,1,"Legislative District 4",4,ocd-division/country:us/state:wa/sldu:4,1
34801,"Capital Region ESD 113",21401,"Centralia School District","PO Box 610",,CENTRALIA,Washington,98531,"Lisa  Grant",(360)330-7600,lgrant@centralia.wednet.edu,46.713822,-123.01046,0.5,place,610,"PO Box",,,Centralia,WA,"Lewis County",98531,US,"TIGER/Line® dataset from the US Census Bureau",WA3,118th,"Legislative District 20",20,ocd-division/country:us/state:wa/sldl:20,0.746,"Legislative District 20",20,ocd-division/country:us/state:wa/sldu:20,0.746
34801,"Capital Region ESD 113",21302,"Chehalis School District","310 SW 16TH ST",,CHEHALIS,Washington,98532-3809,"  ",,,46.65104,-122.950714,1,range_interpolation,310,"SW 16th St",,,Chehalis,WA,"Lewis County",98532,US,"TIGER/Line® dataset from the US Census Bureau",WA3,118th,"Legislative District 20",20,ocd-division/country:us/state:wa/sldl:20,1,"Legislative District 20",20,ocd-division/country:us/state:wa/sldu:20,1
32801,"Educational Service District 101",32360,"Cheney School District","12414 S Andrus Rd",,CHENEY,Washington,99004,"Ben  Ferney",(509)559-4500,bferney@cheneysd.org,47.543145,-117.547123,1,rooftop,12414,"S Andrus Rd",,,Cheney,WA,"Spokane County",99004,US,"Spokane (Spokane County CC BY-NC-SA 4.0)",WA5,118th,"Legislative District 9",9,ocd-division/country:us/state:wa/sldl:9,1,"Legislative District 9",9,ocd-division/country:us/state:wa/sldu:9,1
32801,"Educational Service District 101",33036,"Chewelah School District","PO BOX 47",,Chewelah,Washington,99109-8970,"Jason  Perrins",(509)685-6800,jperrins@chewelahk12.us,48.293181,-117.739245,0.5,place,47,"PO Box",,,Chewelah,WA,"Stevens County",99109,US,"TIGER/Line® dataset from the US Census Bureau",WA5,118th,"Legislative District 7",7,ocd-division/country:us/state:wa/sldl:7,1,"Legislative District 7",7,ocd-division/country:us/state:wa/sldu:7,1
OSPI,"Office of Superintendent of Public Instruction",27901,"Chief Leschi Tribal Compact","5625 52nd St E",,Puyallup,Washington,98371,"Don  Brummett",(253)445-6000,don.brummett@leschischools.org,47.210346,-122.354012,1,rooftop,5625,"52nd St E",,,Puyallup,WA,"Pierce County",98371,US,Pierce,WA10,118th,"Legislative District 25",25,ocd-division/country:us/state:wa/sldl:25,1,"Legislative District 25",25,ocd-division/country:us/state:wa/sldu:25,1
18801,"Olympic Educational Service District 114",16049,"Chimacum School District","PO BOX 278",,CHIMACUM,Washington,98325-0278,"Scott  Mauk",(360)302-5896,scott_mauk@csd49.org,48.01092,-122.76878,0.5,place,278,"PO Box",,,Chimacum,WA,"Jefferson County",98325,US,"TIGER/Line® dataset from the US Census Bureau",WA6,118th,"Legislative District 24",24,ocd-division/country:us/state:wa/sldl:24,1,"Legislative District 24",24,ocd-division/country:us/state:wa/sldu:24,1
11801,"Educational Service District 123",02250,"Clarkston School District","PO BOX 70",,CLARKSTON,Washington,99403-2557,"Thaynan  Knowlton",(509)758-2531,knowltont@csdk12.org,46.369711,-117.225934,0.5,place,70,"PO Box",,,Clarkston,WA,"Asotin County",99403,US,"TIGER/Line® dataset from the US Census Bureau",WA5,118th,"Legislative District 9",9,ocd-division/country:us/state:wa/sldl:9,1,"Legislative District 9",9,ocd-division/country:us/state:wa/sldu:9,1
39801,"Educational Service District 105",19404,"Cle Elum-Roslyn School District","4244 BULLFROG ROAD",,"CLE ELUM",Washington,98922,"John  Belcher",(509)852-4836,belcherj@cersd.org,47.205702,-120.979776,0.99,rooftop,"4244   4244","Bullfrog Rd",,,"Cle Elum",WA,"Kittitas County",98922,US,"Statewide WA",WA8,118th,"Legislative District 13",13,ocd-division/country:us/state:wa/sldl:13,1,"Legislative District 13",13,ocd-division/country:us/state:wa/sldu:13,1
17801,"Puget Sound Educational Service District 121",27400,"Clover Park School District","10903 GRAVELLY LAKE DR SW",,LAKEWOOD,Washington,98499-1341,"Ron  Banner",(253)583-5060,rbanner@cloverpark.k12.wa.us,47.158989,-122.519556,1,rooftop,10903,"Gravelly Lake Dr SW",,,Lakewood,WA,"Pierce County",98499,US,Pierce,WA10,118th,"Legislative District 28",28,ocd-division/country:us/state:wa/sldl:28,1,"Legislative District 28",28,ocd-division/country:us/state:wa/sldu:28,1
32801,"Educational Service District 101",38300,"Colfax School District","1207 N MORTON ST",,COLFAX,Washington,99111-2198,"Jerry  Pugh",(509)397-3042,jerry.pugh@csd300.org,46.893936,-117.358677,1,rooftop,1207,"N Morton St",,,Colfax,WA,"Whitman County",99111,US,Whitman,WA5,118th,"Legislative District 9",9,ocd-division/country:us/state:wa/sldl:9,1,"Legislative District 9",9,ocd-division/country:us/state:wa/sldu:9,1
11801,"Educational Service District 123",36250,"College Place School District","1755 S College Ave",,"COLLEGE PLACE",Washington,99324-1175,"Jim  Fry",(509)525-4827,jfry@cpps.org,46.030884,-118.387588,1,rooftop,1755,"S College Ave",,,"College Place",WA,"Walla Walla County",99324,US,"Walla Walla",WA5,118th,"Legislative District 16",16,ocd-division/country:us/state:wa/sldl:16,1,"Legislative District 16",16,ocd-division/country:us/state:wa/sldu:16,1
32801,"Educational Service District 101",38306,"Colton School District","706 UNION",,COLTON,Washington,99113-0109,"Jody  Moehrle",(509)229-3385,jodymoehrle@colto.k12.wa.us,46.575075,-117.206588,0.5,place,,,,,Colton,WA,"Whitman County",99113,US,"TIGER/Line® dataset from the US Census Bureau",WA5,118th,"Legislative District 9",9,ocd-division/country:us/state:wa/sldl:9,1,"Legislative District 9",9,ocd-division/country:us/state:wa/sldu:9,1
32801,"Educational Service District 101",33206,"Columbia (Stevens) School District","PO BOX 7",,HUNTERS,Washington,99137-0007,"Gregory  Price",(509)722-3311,gprice@columbia206.net,48.150398,-118.077422,0.5,place,7,"PO Box",,,Hunters,WA,"Stevens County",99137,US,"TIGER/Line® dataset from the US Census Bureau",WA5,118th,"Legislative District 7",7,ocd-division/country:us/state:wa/sldl:7,1,"Legislative District 7",7,ocd-division/country:us/state:wa/sldu:7,1
11801,"Educational Service District 123",36400,"Columbia (Walla Walla) School District","755 MAPLE ST",,BURBANK,Washington,99323-0548,"Todd  Hilberg",(509)547-2136,todd.hilberg@csd400.org,46.199484,-119.008591,1,rooftop,755,"W Maple St",,,Burbank,WA,"Walla Walla County",99323,US,"Walla Walla",WA5,118th,"Legislative District 16",16,ocd-division/country:us/state:wa/sldl:16,1,"Legislative District 16",16,ocd-division/country:us/state:wa/sldu:16,1
32801,"Educational Service District 101",33115,"Colville School District","217 S HOFSTETTER ST",,COLVILLE,Washington,99114-3239,"Kevin  Knight",(509)684-7850,kknight@colsd.org,48.54323,-117.896745,1,rooftop,217,"S Hofstetter St",,,Colville,WA,"Stevens County",99114,US,Stevens,WA5,118th,"Legislative District 7",7,ocd-division/country:us/state:wa/sldl:7,1,"Legislative District 7",7,ocd-division/country:us/state:wa/sldu:7,1
29801,"Northwest Educational Service District 189",29011,"Concrete School District","45389 AIRPORT WAY ",,CONCRETE,Washington,98237-9355,"Carrie  Crickmore",(360)853-4000,ccrickmore@concrete.k12.wa.us,48.531738,-121.758052,1,rooftop,45389,"Airport Way",,,Concrete,WA,"Skagit County",98237,US,"Statewide WA",WA2,118th,"Legislative District 39",39,ocd-division/country:us/state:wa/sldl:39,1,"Legislative District 39",39,ocd-division/country:us/state:wa/sldu:39,1
29801,"Northwest Educational Service District 189",29317,"Conway School District","19710 STATE ROUTE 534",,"MOUNT VERNON",Washington,98274-8026,"Jeff  Cravy",(360)445-5785,jcravy@conway.k12.wa.us,48.340417,-122.318797,1,rooftop,19710,"State Route 534",,,"Mount Vernon",WA,"Skagit County",98274,US,"Statewide WA",WA2,118th,"Legislative District 39",39,ocd-division/country:us/state:wa/sldl:39,1,"Legislative District 39",39,ocd-division/country:us/state:wa/sldu:39,1
34801,"Capital Region ESD 113",14099,"Cosmopolis School District","PO BOX 479 ",,COSMOPOLIS,Washington,98537,"Ann  Tracey",(360)532-7181,atracey@cosmopolisschool.com,46.878164,-123.64539,0.5,place,479,"PO Box",,,Cosmopolis,WA,"Grays Harbor County",98537,US,"TIGER/Line® dataset from the US Census Bureau",WA6,118th,"Legislative District 19",19,ocd-division/country:us/state:wa/sldl:19,1,"Legislative District 19",19,ocd-division/country:us/state:wa/sldu:19,1
04801,"North Central Educational Service District 171",13151,"Coulee-Hartline School District","410 W LOCUST ST",,"COULEE CITY",Washington,99115-0428,"Kelley  Boyd",(509)632-5231,kboyd@achwarriors.com,47.613957,-119.293513,1,rooftop,410,"W Locust St",,,"Coulee City",WA,"Grant County",99115,US,Grant,WA4,118th,"Legislative District 7",7,ocd-division/country:us/state:wa/sldl:7,1,"Legislative District 7",7,ocd-division/country:us/state:wa/sldu:7,1
29801,"Northwest Educational Service District 189",15204,"Coupeville School District","501 S Main St",,Coupeville,Washington,98239,"Steve  King",(360)678-2404,sking@coupeville.k12.wa.us,48.20675,-122.684768,1,rooftop,501,"S Main St",,,Coupeville,WA,"Island County",98239,US,"Statewide WA",WA2,118th,"Legislative District 10",10,ocd-division/country:us/state:wa/sldl:10,1,"Legislative District 10",10,ocd-division/country:us/state:wa/sldu:10,1
18801,"Olympic Educational Service District 114",05313,"Crescent School District","PO BOX 20",,JOYCE,Washington,98343-0020,"David  Bingham",(360)928-3311,dbingham@csd313.org,48.138272,-123.729934,0.5,place,20,"PO Box",,,Joyce,WA,"Clallam County",98343,US,"TIGER/Line® dataset from the US Census Bureau",WA6,118th,"Legislative District 24",24,ocd-division/country:us/state:wa/sldl:24,1,"Legislative District 24",24,ocd-division/country:us/state:wa/sldu:24,1
32801,"Educational Service District 101",22073,"Creston School District","485 SE E ST",,CRESTON,Washington,99117-0017,"Jay  Tyus",(509)429-5067,jtyus@wcsd.wednet.edu,47.754898,-118.519827,1,rooftop,485,"S E St",,,Creston,WA,"Lincoln County",99117,US,"Statewide WA",WA5,118th,"Legislative District 9",9,ocd-division/country:us/state:wa/sldl:9,1,"Legislative District 9",9,ocd-division/country:us/state:wa/sldu:9,1
32801,"Educational Service District 101",10050,"Curlew School District","PO BOX 370",,CURLEW,Washington,99118-9748,"Brian   Freeman",(509)779-4931,bfreeman@curlewsd.org,48.894734,-118.669864,0.5,place,370,"PO Box",,,Curlew,WA,"Ferry County",99118,US,"TIGER/Line® dataset from the US Census Bureau",WA5,118th,"Legislative District 7",7,ocd-division/country:us/state:wa/sldl:7,1,"Legislative District 7",7,ocd-division/country:us/state:wa/sldu:7,1
32801,"Educational Service District 101",26059,"Cusick School District","305 MONUMENTAL WAY",,CUSICK,Washington,99119-9761,"Don  Hawpe",(509)445-1125,dhawpe@cusick.wednet.edu,48.336899,-117.298719,1,rooftop,305,"Monumental Way",,,Cusick,WA,"Pend Oreille County",99119,US,"Pend Oreille",WA5,118th,"Legislative District 7",7,ocd-division/country:us/state:wa/sldl:7,1,"Legislative District 7",7,ocd-division/country:us/state:wa/sldu:7,1
39801,"Educational Service District 105",19007,"Damman School District","2681 Umptanum Rd.",,Ellensburg,Washington,98926,"Timothy P. Lawless",(509)962-9079,timothy.lawless@dammanschool.org,46.97042,-120.570497,0.99,rooftop,"2681  2681","Umptanum Rd",,,Ellensburg,WA,"Kittitas County",98926,US,"Statewide WA",WA8,118th,"Legislative District 13",13,ocd-division/country:us/state:wa/sldl:13,1,"Legislative District 13",13,ocd-division/country:us/state:wa/sldu:13,1
29801,"Northwest Educational Service District 189",31330,"Darrington School District","PO BOX 27",,DARRINGTON,Washington,98241-0027,"Tracy   Franke",(360)436-1323,tfranke@dsd.k12.wa.us,48.239542,-121.589209,0.5,place,27,"PO Box",,,Darrington,WA,"Snohomish County",98241,US,"TIGER/Line® dataset from the US Census Bureau",WA8,118th,"Legislative District 39",39,ocd-division/country:us/state:wa/sldl:39,1,"Legislative District 39",39,ocd-division/country:us/state:wa/sldu:39,1
32801,"Educational Service District 101",22207,"Davenport School District","801 7th Street",,DAVENPORT,Washington,99122-9548,"Chad  Prewitt",(509)725-1481,cprewitt@davenportsd.org,47.651579,-118.150554,1,rooftop,801,"7th St",,,Davenport,WA,"Lincoln County",99122,US,Lincoln,WA5,118th,"Legislative District 9",9,ocd-division/country:us/state:wa/sldl:9,1,"Legislative District 9",9,ocd-division/country:us/state:wa/sldu:9,1
11801,"Educational Service District 123",07002,"Dayton School District","609 S 2ND ST",,DAYTON,Washington,99328-1572,"  ",,,46.316516,-117.974973,1,rooftop,609,"S 2nd St",,,Dayton,WA,"Columbia County",99328,US,"Statewide WA",WA5,118th,"Legislative District 9",9,ocd-division/country:us/state:wa/sldl:9,1,"Legislative District 9",9,ocd-division/country:us/state:wa/sldu:9,1
