ESDCode,ESDName,LEACode,LEAName,SchoolCode,SchoolName,LowestGrade,HighestGrade,AddressLine1,AddressLine2,City,State,ZipCode,PrincipalName,Email,Phone,OrgCategoryList,AYPCode,GradeCategory,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,Congressional District,Congress,State Legislative District House Name,State Legislative District House Number,State Legislative District House OCD id,State Legislative District House Proportion,State Legislative District Senate Name,State Legislative District Senate Number,State Legislative District Senate OCD id,State Legislative District Senate Proportion
11801,Educational Service District 123,02250,Clarkston School District,2823,Parkway Elementary,K ,6,1103 4th St,,Clarkston,Washington,99403-2603,Dan  LejaMeyer,lejameyerd@csdk12.org,509.758.2553," Public School, Regular School",P,Elementary School,46.40841,-117.042034,1,rooftop,1103,4th St,,,Clarkston,WA,Asotin County,99403,US,Asotin,WA5,118th,Legislative District 9,9,ocd-division/country:us/state:wa/sldl:9,1,Legislative District 9,9,ocd-division/country:us/state:wa/sldu:9,1
11801,Educational Service District 123,02250,Clarkston School District,2962,Grantham Elementary,K ,6,1253 Poplar St,,Clarkston,Washington,99403-2248,Jason Rob Hoffman,hoffmanj@csdk12.org,509.769.5522," Public School, Regular School",P,Elementary School,46.417411,-117.056697,1,rooftop,1253,Poplar St,,,Clarkston,WA,Asotin County,99403,US,Asotin,WA5,118th,Legislative District 9,9,ocd-division/country:us/state:wa/sldl:9,1,Legislative District 9,9,ocd-division/country:us/state:wa/sldu:9,1
11801,Educational Service District 123,02250,Clarkston School District,3266,Highland Elementary,K ,6,1432 Highland St,,Clarkston,Washington,99403-2964,Deanne  Ruddell,ruddelld@csdk12.org,509.758.5531," Public School, Regular School",P,Elementary School,46.405141,-117.066777,1,rooftop,1432,Highland Ave,,,Clarkston,WA,Asotin County,99403,US,Asotin,WA5,118th,Legislative District 9,9,ocd-division/country:us/state:wa/sldl:9,1,Legislative District 9,9,ocd-division/country:us/state:wa/sldu:9,1
11801,Educational Service District 123,02250,Clarkston School District,3616,Special Services,PK,12,1294 Chestnut St,,Clarkston,Washington,99403-0070,Rebecca  Lockhart,lockhartr@csdk12.org,509.758.2531," Public School, Special Education School",S,PK-12,46.411119,-117.057692,1,rooftop,1294,Chestnut St,,,Clarkston,WA,Asotin County,99403,US,Statewide WA,WA5,118th,Legislative District 9,9,ocd-division/country:us/state:wa/sldl:9,1,Legislative District 9,9,ocd-division/country:us/state:wa/sldu:9,1
11801,Educational Service District 123,02250,Clarkston School District,4384,Heights Elementary,K ,6,1917 4th Ave,,Clarkston,Washington,99403-1319,Samantha  Ogden,OgdenS@csdk12.org,509.758.8180," Public School, Regular School",P,Elementary School,46.392261,-117.078622,1,rooftop,1917,4th Ave,,,Clarkston,WA,Asotin County,99403,US,Statewide WA,WA5,118th,Legislative District 9,9,ocd-division/country:us/state:wa/sldl:9,1,Legislative District 9,9,ocd-division/country:us/state:wa/sldu:9,1
11801,Educational Service District 123,02420,Asotin-Anatone School District,2434,Asotin Jr Sr High,6,12,PO BOX 489,,ASOTIN,Washington,99402-0000,  ,,," Public School, Regular School",P,Other,46.33933,-117.04821,0.5,place,489,PO Box,,,Asotin,WA,Asotin County,99402,US,TIGER/Line® dataset from the US Census Bureau,WA5,118th,Legislative District 9,9,ocd-division/country:us/state:wa/sldl:9,1,Legislative District 9,9,ocd-division/country:us/state:wa/sldu:9,1
11801,Educational Service District 123,02420,Asotin-Anatone School District,2507,Asotin Elementary,PK,5,PO Box 489,,ASOTIN,Washington,99402-0000,Wes  Nicholas,wnicholas@aasd.wednet.edu,(509) 243-4147," Public School, Regular School",P,Elementary School,46.33933,-117.04821,0.5,place,489,PO Box,,,Asotin,WA,Asotin County,99402,US,TIGER/Line® dataset from the US Census Bureau,WA5,118th,Legislative District 9,9,ocd-division/country:us/state:wa/sldl:9,1,Legislative District 9,9,ocd-division/country:us/state:wa/sldu:9,1
11801,Educational Service District 123,03017,Kennewick School District,1884,Legacy High School,6,12,4624 W 10th Ave,,KENNEWICK,Washington,99338,Guy  Strot,guy.strot@ksd.org,509.222.6552," Alternative School, Public School",A,Other,46.199694,-119.184062,1,rooftop,4624,W 10th Ave,,,Kennewick,WA,Benton County,99336,US,City of Kennewick,WA4,118th,Legislative District 8,8,ocd-division/country:us/state:wa/sldl:8,1,Legislative District 8,8,ocd-division/country:us/state:wa/sldu:8,1
11801,Educational Service District 123,03017,Kennewick School District,2000,Keewaydin Discovery Center,PK,PK,125 S Conway Pl,,KENNEWICK,Washington,99336-5633,Kate  Armitage,kate.armitage@ksd.org,509.222.6483," Public School, Regular School",P,PK Only,46.207711,-119.156065,1,rooftop,125,S Conway Pl,,,Kennewick,WA,Benton County,99336,US,City of Kennewick,WA4,118th,Legislative District 16,16,ocd-division/country:us/state:wa/sldl:16,1,Legislative District 16,16,ocd-division/country:us/state:wa/sldu:16,1
11801,Educational Service District 123,03017,Kennewick School District,2824,Eastgate Elementary School,PK,5,910 EAST 10TH AVENUE,,KENNEWICK,Washington,99336-5926,Brittany  Mercer,brittany.mercer@ksd.org,509.222.6521," Public School, Regular School",P,Elementary School,46.198053,-119.103021,1,rooftop,910,E 10th Ave,,,Kennewick,WA,Benton County,99336,US,City of Kennewick,WA4,118th,Legislative District 16,16,ocd-division/country:us/state:wa/sldl:16,1,Legislative District 16,16,ocd-division/country:us/state:wa/sldu:16,1
29801,Northwest Educational Service District 189,29320,Mount Vernon School District,3183,Jefferson Elementary,K ,5,1801 E Blackburn Rd,,Mount Vernon,Washington,98273-9139,Timothy  Newall,tnewall@mvsd320.org,360.428.6128," Public School, Regular School",P,Elementary School,48.406786,-122.31777,1,rooftop,1801,E Blackburn Rd,,,Mount Vernon,WA,Skagit County,98274,US,Statewide WA,WA2,118th,Legislative District 40,40,ocd-division/country:us/state:wa/sldl:40,1,Legislative District 40,40,ocd-division/country:us/state:wa/sldu:40,1
OSPI,Office of Superintendent of Public Instruction,29801,Northwest Educational Service District 189,3363,Skagit County Detention Center,8,12,605 3RD ST,,MOUNT VERNON,Washington,98273-3867,Andrea  Downs,adowns@nwesd.org,360.299.4000, Detention Center,J,High School,48.418286,-122.336505,1,rooftop,605,S 3rd St,,,Mount Vernon,WA,Skagit County,98273,US,Statewide WA,WA2,118th,Legislative District 10,10,ocd-division/country:us/state:wa/sldl:10,1,Legislative District 10,10,ocd-division/country:us/state:wa/sldu:10,1
29801,Northwest Educational Service District 189,29320,Mount Vernon School District,3821,La Venture Middle School,6,8,1200 LaVenture Rd,,Mount Vernon,Washington,98273-2762,DAVID  RIDDLE,driddle@mvsd320.org,360.428.6116," Public School, Regular School",P,Middle School,48.430969,-122.312183,1,rooftop,1200,N Laventure Rd,,,Mount Vernon,WA,Skagit County,98273,US,Statewide WA,WA2,118th,Legislative District 40,40,ocd-division/country:us/state:wa/sldl:40,1,Legislative District 40,40,ocd-division/country:us/state:wa/sldu:40,1
29801,Northwest Educational Service District 189,29320,Mount Vernon School District,3829,Mount Vernon Special Ed,PK,12,920 S 2nd St,,Mount Vernon,Washington,98273-4200,Clint  Carlton,ccarlton@mvsd320.org,360.428.6141," Public School, Special Education School",S,PK-12,48.415954,-122.337381,1,rooftop,920,S 2nd St,,,Mount Vernon,WA,Skagit County,98273,US,Statewide WA,WA2,118th,Legislative District 10,10,ocd-division/country:us/state:wa/sldl:10,1,Legislative District 10,10,ocd-division/country:us/state:wa/sldu:10,1
29801,Northwest Educational Service District 189,29320,Mount Vernon School District,4013,Little Mountain Elementary,K ,5,1514 S LaVenture RD,,Mount Vernon,Washington,98274-6034,Susan  Husband,shusband@mvsd320.org,360.428.6125," Public School, Regular School",P,Elementary School,48.410816,-122.311557,1,rooftop,1514,S Laventure Rd,,,Mount Vernon,WA,Skagit County,98274,US,Statewide WA,WA2,118th,Legislative District 40,40,ocd-division/country:us/state:wa/sldl:40,1,Legislative District 40,40,ocd-division/country:us/state:wa/sldu:40,1
29801,Northwest Educational Service District 189,29320,Mount Vernon School District,4329,Centennial Elementary School ,K ,5,3100 Martin Rd,,Mount Vernon,Washington,98273-8612,Julie  Sager,jsager@mvsd320.org,360.428.6138," Public School, Regular School",P,Elementary School,48.441441,-122.301263,1,rooftop,3100,Martin Rd,,,Mount Vernon,WA,Skagit County,98273,US,Statewide WA,WA2,118th,Legislative District 40,40,ocd-division/country:us/state:wa/sldl:40,1,Legislative District 40,40,ocd-division/country:us/state:wa/sldu:40,1
29801,Northwest Educational Service District 189,29320,Mount Vernon School District,4511,Mount Baker Middle School,6,8,2310 E Section St,,Mount Vernon,Washington,98274-6026,Jennifer  Harlan,mmauro@mvsd320.org,360.428.6172," Public School, Regular School",P,Middle School,48.412484,-122.311182,1,rooftop,2310,E Section St,,,Mount Vernon,WA,Skagit County,98274,US,Statewide WA,WA2,118th,Legislative District 40,40,ocd-division/country:us/state:wa/sldl:40,1,Legislative District 40,40,ocd-division/country:us/state:wa/sldu:40,1
06801,Educational Service District 112,30002,Skamania School District,3405,Skamania Elementary,K ,8,122 Butler Loop Road,,Skamania,Washington,98648-6021,Ralph H. Pruitt,rpruitt@skamania.k12.wa.us,509.427.8239," Public School, Regular School",5,Other,45.623623,-122.050943,1,rooftop,122,Butler Loop Rd,,,Stevenson,WA,Skamania County,98648,US,Skamania,WA3,118th,Legislative District 17,17,ocd-division/country:us/state:wa/sldl:17,1,Legislative District 17,17,ocd-division/country:us/state:wa/sldu:17,1
06801,Educational Service District 112,30029,Mount Pleasant School District,3459,Mount Pleasant School,K ,8,152 Marble Rd.,,Washougal,Washington,98671-7913,Cathy  Lehmann,Cathy.Lehmann@mtpleasantschool.org,360.835.3371," Public School, Regular School",5,Other,45.563756,-122.229927,1,rooftop,152,Marble Rd,,,Washougal,WA,Skamania County,98671,US,Skamania,WA3,118th,Legislative District 17,17,ocd-division/country:us/state:wa/sldl:17,1,Legislative District 17,17,ocd-division/country:us/state:wa/sldu:17,1
06801,Educational Service District 112,30031,Mill A School District,3406,Mill A Elementary School,K ,8,1142 JESSUP ROAD,,COOK,Washington,98605-0000,Kathy  Whitlock,kwhitlock@millaschool.org,509.538.2522," Public School, Regular School",5,Other,45.757327,-121.648951,1,rooftop,1142,Jessup Rd,,,Bingen,WA,Skamania County,98605,US,Skamania,WA3,118th,Legislative District 17,17,ocd-division/country:us/state:wa/sldl:17,1,Legislative District 17,17,ocd-division/country:us/state:wa/sldu:17,1
06801,Educational Service District 112,30303,Stevenson-Carson School District,1765,Preschool,PK,PK,PO Box 850,,Stevenson,Washington,98648-0850,Karen  Schreiber,schreiberk@scsd303.org,509.427.5672," Public School, Special Education School",S,PK Only,45.673707,-121.912581,0.5,place,850,PO Box,,,Stevenson,WA,Skamania County,98648,US,TIGER/Line® dataset from the US Census Bureau,WA3,118th,Legislative District 17,17,ocd-division/country:us/state:wa/sldl:17,1,Legislative District 17,17,ocd-division/country:us/state:wa/sldu:17,1
06801,Educational Service District 112,30303,Stevenson-Carson School District,2682,Stevenson Elementary,K ,2,P.O. Box 850,,Stevenson,Washington,98648-0850,Sarah  Dodson,dodsons@scsd303.org,509.427.5672," Public School, Regular School",P,Elementary School,45.673707,-121.912581,0.5,place,850,PO Box,,,Stevenson,WA,Skamania County,98648,US,TIGER/Line® dataset from the US Census Bureau,WA3,118th,Legislative District 17,17,ocd-division/country:us/state:wa/sldl:17,1,Legislative District 17,17,ocd-division/country:us/state:wa/sldu:17,1
06801,Educational Service District 112,30303,Stevenson-Carson School District,2882,Carson Elementary,3,5,P.O. Box 850,,Stevenson,Washington,98648-0850,Sarah  Marino,marinos@scsd303.org,509.427.5939," Public School, Regular School",P,Elementary School,45.673707,-121.912581,0.5,place,850,PO Box,,,Stevenson,WA,Skamania County,98648,US,TIGER/Line® dataset from the US Census Bureau,WA3,118th,Legislative District 17,17,ocd-division/country:us/state:wa/sldl:17,1,Legislative District 17,17,ocd-division/country:us/state:wa/sldu:17,1
06801,Educational Service District 112,30303,Stevenson-Carson School District,3119,Stevenson High School,9,12,P.O. Box 850,,Stevenson,Washington,98648-0850,William  Schwan,schwanw@scsd303.org,509.427.5631," Public School, Regular School",P,High School,45.673707,-121.912581,0.5,place,850,PO Box,,,Stevenson,WA,Skamania County,98648,US,TIGER/Line® dataset from the US Census Bureau,WA3,118th,Legislative District 17,17,ocd-division/country:us/state:wa/sldl:17,1,Legislative District 17,17,ocd-division/country:us/state:wa/sldu:17,1
06801,Educational Service District 112,30303,Stevenson-Carson School District,3800,Wind River Middle School,6,8,P.O. Box 850,,Stevenson,Washington,98648-0850,Benton  Dorman,dormanb@scsd303.org,509.427.8952," Public School, Regular School",P,Middle School,45.673707,-121.912581,0.5,place,850,PO Box,,,Stevenson,WA,Skamania County,98648,US,TIGER/Line® dataset from the US Census Bureau,WA3,118th,Legislative District 17,17,ocd-division/country:us/state:wa/sldl:17,1,Legislative District 17,17,ocd-division/country:us/state:wa/sldu:17,1
29801,Northwest Educational Service District 189,31002,Everett School District,1663,NW Learning Center,9,12,PO Box 2098,,Everett,Washington,98213-2999,Kelley P. Clevenger,KClevenger@everettsd.org,425.385.5251," Alternative School, Public School",A,High School,47.988661,-122.199795,0.5,place,2098,PO Box,,,Everett,WA,Snohomish County,98213,US,TIGER/Line® dataset from the US Census Bureau,WA2,118th,Legislative District 38,38,ocd-division/country:us/state:wa/sldl:38,1,Legislative District 38,38,ocd-division/country:us/state:wa/sldu:38,1
29801,Northwest Educational Service District 189,31002,Everett School District,1810,Sno Co Jail,7,12,1918 Wall Street,,Everett,Washington,98201-3665,Kelly  Shepherd,kshepherd@everettsd.org,425.385.5100," Institution, Public School",I,Other,47.977803,-122.203461,1,rooftop,1918,Wall St,,,Everett,WA,Snohomish County,98201,US,Snohomish County,WA2,118th,Legislative District 38,38,ocd-division/country:us/state:wa/sldl:38,1,Legislative District 38,38,ocd-division/country:us/state:wa/sldu:38,1
OSPI,Office of Superintendent of Public Instruction,29801,Northwest Educational Service District 189,1811,Pass Program,6,12,2731 10th St. Suite 106,,Everett,Washington,98201-1413,Steve  Dahl,sdahl@nwesd.org,360.299.4000," Alternative School, Public School",A,Other,48.004499,-122.194014,1,rooftop,2731,10th St,Ste,106,Everett,WA,Snohomish County,98201,US,Snohomish County,WA2,118th,Legislative District 38,38,ocd-division/country:us/state:wa/sldl:38,1,Legislative District 38,38,ocd-division/country:us/state:wa/sldu:38,1
29801,Northwest Educational Service District 189,31002,Everett School District,2065,Garfield Elementary School,PK,5,2215 Pine St.,,Everett,Washington,98201-2598,Kathleen  Stilwell,kstilwell@everettsd.org,425.385.4700," Public School, Regular School",P,Elementary School,47.987626,-122.191634,1,rooftop,2215,Pine St,,,Everett,WA,Snohomish County,98201,US,Snohomish County,WA2,118th,Legislative District 38,38,ocd-division/country:us/state:wa/sldl:38,1,Legislative District 38,38,ocd-division/country:us/state:wa/sldu:38,1
29801,Northwest Educational Service District 189,31002,Everett School District,2126,Everett High School,9,12,2416 Colby Ave.,,Everett,Washington,98201-2993,Kelly  Shepherd,KShepherd@everettsd.org,425.385.4400," Public School, Regular School",P,High School,47.985245,-122.208884,1,rooftop,2416,Colby Ave,,,Everett,WA,Snohomish County,98201,US,Snohomish County,WA2,118th,Legislative District 38,38,ocd-division/country:us/state:wa/sldl:38,1,Legislative District 38,38,ocd-division/country:us/state:wa/sldu:38,1
29801,Northwest Educational Service District 189,31002,Everett School District,2364,North Middle School,6,8,2514 Rainier Ave.,,Everett,Washington,98201-3176,Tyler  Ream,tream@everettsd.org,425.385.4801," Public School, Regular School",P,Middle School,47.983955,-122.198897,1,rooftop,2514,Rainier Ave,,,Everett,WA,Snohomish County,98201,US,Snohomish County,WA2,118th,Legislative District 38,38,ocd-division/country:us/state:wa/sldl:38,1,Legislative District 38,38,ocd-division/country:us/state:wa/sldu:38,1
29801,Northwest Educational Service District 189,31002,Everett School District,2545,Silver Lake Elementary - Everett,PK,5,12815 Bothell-Everett Hwy.,,Everett,Washington,98208-6630,Theresa  Campbell,tcampbell@everettsd.org,425.385.6900," Public School, Regular School",P,Elementary School,47.881907,-122.206921,0.9,range_interpolation,12815,Bothell Everett Hwy,,,Everett,WA,Snohomish County,98208,US,TIGER/Line® dataset from the US Census Bureau,WA2,118th,Legislative District 44,44,ocd-division/country:us/state:wa/sldl:44,1,Legislative District 44,44,ocd-division/country:us/state:wa/sldu:44,1
OSPI,Office of Superintendent of Public Instruction,29801,Northwest Educational Service District 189,2601,Snohomish Detention Center,6,12,2801 10th Street,,Everett,Washington,98201-0000,Andrea  Downs,adowns@nwesd.org,360.299.4000, Detention Center,J,Other,48.004495,-122.193311,1,rooftop,2801,10th St,,,Everett,WA,Snohomish County,98201,US,Snohomish County,WA2,118th,Legislative District 38,38,ocd-division/country:us/state:wa/sldl:38,1,Legislative District 38,38,ocd-division/country:us/state:wa/sldu:38,1
29801,Northwest Educational Service District 189,31002,Everett School District,2669,Madison Elementary,PK,5,616 Pecks Dr.,,Everett,Washington,98203-4403,Jessica  Corneille,JCorneille@everettsd.org,425.385.5901," Public School, Regular School",P,Elementary School,47.941386,-122.223507,1,rooftop,616,Pecks Dr,,,Everett,WA,Snohomish County,98203,US,Snohomish County,WA2,118th,Legislative District 38,38,ocd-division/country:us/state:wa/sldl:38,1,Legislative District 38,38,ocd-division/country:us/state:wa/sldu:38,1
29801,Northwest Educational Service District 189,31002,Everett School District,2751,Jackson Elementary School,PK,5,3700 Federal Ave.,,Everett,Washington,98201-4698,Darren J Larama,DLarama@everettsd.org,425.385.5601," Public School, Regular School",P,Elementary School,47.967641,-122.218002,1,rooftop,3700,Federal Ave,,,Everett,WA,Snohomish County,98201,US,Snohomish County,WA2,118th,Legislative District 38,38,ocd-division/country:us/state:wa/sldl:38,1,Legislative District 38,38,ocd-division/country:us/state:wa/sldu:38,1
29801,Northwest Educational Service District 189,31002,Everett School District,2752,Whittier Elementary,PK,5,916 Oakes Ave.,,Everett,Washington,98201-1399,Tony  Wentworth,twentworth@everettsd.org,425.385.4390," Public School, Regular School",P,Elementary School,48.004639,-122.203934,1,rooftop,916,Oakes Ave,,,Everett,WA,Snohomish County,98201,US,Snohomish County,WA2,118th,Legislative District 38,38,ocd-division/country:us/state:wa/sldl:38,1,Legislative District 38,38,ocd-division/country:us/state:wa/sldu:38,1
29801,Northwest Educational Service District 189,31002,Everett School District,2811,Lowell Elementary - Everett,PK,5,5010 View Dr.,,Everett,Washington,98203-2422,Elizabeth  Kelley,EKelley@everettsd.org,425.385.5300," Public School, Regular School",P,Elementary School,47.951262,-122.201793,1,rooftop,5010,View Dr,,,Everett,WA,Snohomish County,98203,US,Snohomish County,WA2,118th,Legislative District 38,38,ocd-division/country:us/state:wa/sldl:38,1,Legislative District 38,38,ocd-division/country:us/state:wa/sldu:38,1
29801,Northwest Educational Service District 189,31002,Everett School District,2883,Hawthorne Elementary School - Everett,PK,5,1110 Poplar St.,,Everett,Washington,98201-1497,Jacob  Ellsworth,jellsworth@everettsd.org,425.385.4600," Public School, Regular School",P,Elementary School,48.002229,-122.195283,1,rooftop,1110,Poplar St,,,Everett,WA,Snohomish County,98201,US,Snohomish County,WA2,118th,Legislative District 38,38,ocd-division/country:us/state:wa/sldl:38,1,Legislative District 38,38,ocd-division/country:us/state:wa/sldu:38,1
29801,Northwest Educational Service District 189,31002,Everett School District,3002,View Ridge Elementary,PK,5,202 Alder St.,,Everett,Washington,98203-3235,Katrina  Wood,KWood1@everettsd.org,425.385.5400," Public School, Regular School",P,Elementary School,47.952557,-122.229826,1,rooftop,202,Alder St,,,Everett,WA,Snohomish County,98203,US,Snohomish County,WA2,118th,Legislative District 38,38,ocd-division/country:us/state:wa/sldl:38,1,Legislative District 38,38,ocd-division/country:us/state:wa/sldu:38,1
29801,Northwest Educational Service District 189,31002,Everett School District,3184,Emerson Elementary School,PK,5,8702 7th Ave. SE,,Everett,Washington,98208-2040,Blythe  Young,BYoung2@everettsd.org,425.385.6201," Public School, Regular School",P,Elementary School,47.919189,-122.223509,1,rooftop,8702,7th Ave SE,,,Everett,WA,Snohomish County,98208,US,Snohomish County,WA2,118th,Legislative District 38,38,ocd-division/country:us/state:wa/sldl:38,1,Legislative District 38,38,ocd-division/country:us/state:wa/sldu:38,1
